ID ,Text,Sentiment_text,Sentiment_label,seg_text_lstm,seg_text_crf
278,ខ្សែភាពយន្តថ្មីនេះធ្វើបានល្អណាស់ តួសម្ដែងពូកែៗ រឿងរ៉ាវគួរឱ្យចាប់អារម្មណ៍,Positive,1.0,ខ្សែភាពយន្ត ថ្មី នេះ ធ្វើ បាន ល្អ ណាស់ តួ សម្ដែង ពូកែ ៗ រឿងរ៉ាវ គួរឱ្យ ចាប់អារម្មណ៍,ខ្សែភាពយន្ត ថ្មី នេះ ធ្វើ បាន ល្អ ណាស់ តួ សម្ដែង ពូកែ ៗ រឿងរ៉ាវ គួរឱ្យ ចាប់អារម្មណ៍
279,តម្លៃទំនិញថ្លៃពេក មិនសមនឹងគុណភាពទេ,Negative,0.0,តម្លៃ ទំនិញ ថ្លៃ ពេក មិន សម នឹង គុណភាព ទេ,តម្លៃ ទំនិញ ថ្លៃ ពេក មិន សម នឹង គុណភាព ទេ
281,កម្មវិធីតន្ត្រីមិនសូវពិរោះ អ្នកចម្រៀងច្រៀងមិនចំណង្វាក់,Negative,0.0,កម្មវិធី តន្ត្រី មិន សូវ ពិរោះ អ្នកចម្រៀង ច្រៀង មិន ចំណង្វាក់,កម្មវិធី តន្ត្រី មិន សូវ ពិរោះ អ្នកចម្រៀង ច្រៀង មិន ចំណង្វាក់
282,ទូរស័ព្ទថ្មីនេះប្រើប្រាស់ងាយស្រួល ថ្មល្អ កាមេរ៉ាច្បាស់,Positive,1.0,ទូរស័ព្ទ ថ្មី នេះ ប្រើប្រាស់ ងាយស្រួល ថ្ម ល្អ កាមេរ៉ា ច្បាស់,ទូរស័ព្ទ ថ្មី នេះ ប្រើប្រាស់ ងាយស្រួល ថ្ម ល្អ កាមេរ៉ា ច្បាស់
285,សម្លៀកបំពាក់គុណភាពអន់ ថ្លៃហើយរែកលុយមួយខែ,Negative,0.0,សម្លៀកបំពាក់ គុណភាព អន់ ថ្លៃ ហើយ រែក លុយ មួយ ខែ,សម្លៀកបំពាក់ គុណភាព អន់ ថ្លៃ ហើយ រែក លុយ មួយ ខែ
286,ជាងកាត់សក់មានជំនាញខ្ពស់ កាត់បានស្អាតត្រូវចិត្ត,Positive,1.0,ជាង កាត់ សក់ មាន ជំនាញ ខ្ពស់ កាត់ បាន ស្អាត ត្រូវចិត្ត,ជាង កាត់ សក់ មាន ជំនាញ ខ្ពស់ កាត់ បាន ស្អាត ត្រូវចិត្ត
287,តន្ត្រីកម្សាន្តនៅក្លឹបនេះពិរោះណាស់ បទចម្រៀងទាន់សម័យ,Positive,1.0,ត ន្ត្រី កម្សាន្ត នៅ ក្លឹប នេះ ពិរោះ ណាស់ បទចម្រៀង ទាន់សម័យ,តន្ត្រី កម្សាន្ត នៅ ក្លឹប នេះ ពិរោះ ណាស់ បទចម្រៀង ទាន់សម័យ
288,កាបូបថ្មីនេះគុណភាពល្អណាស់ ធន់ហើយស្អាត,Positive,1.0,កាបូប ថ្មី នេះ គុណភាព ល្អ ណាស់ ធន់ ហើយ ស្អាត,កាបូប ថ្មី នេះ គុណភាព ល្អ ណាស់ ធន់ ហើយ ស្អាត
289,សេវាកម្មអតិថិជនមិនល្អ រង់ចាំយូរពេក,Negative,0.0,សេវាកម្ម អតិថិជន មិន ល្អ រង់ចាំ យូរ ពេក,សេវាកម្ម អតិថិជន មិន ល្អ រង់ចាំ យូរ ពេក
290,កម្មវិធីទូរទស្សន៍នេះគួរឱ្យចាប់អារម្មណ៍ណាស់ មានការច្នៃប្រឌិតខ្ពស់,Positive,1.0,កម្មវិធី ទូរទស្សន៍ នេះ គួរឱ្យ ចាប់អារម្មណ៍ ណាស់ មាន ការច្នៃប្រឌិត ខ្ពស់,កម្មវិធី ទូរទស្សន៍ នេះ គួរឱ្យ ចាប់អារម្មណ៍ ណាស់ មាន ការច្នៃប្រឌិត ខ្ពស់
291,ស្មាតហ្វូននេះថ្មបានរយៈពេលខ្លីណាស់ មិនសមនឹងតម្លៃ,Negative,0.0,ស្មាតហ្វូន នេះ ថ្ម បាន រយៈពេល ខ្លី ណាស់ មិន សម នឹង តម្លៃ,ស្មាតហ្វូន នេះ ថ្ម បាន រយៈពេល ខ្លី ណាស់ មិន សម នឹង តម្លៃ
293,ភាពយន្តនេះធ្វើឱ្យខ្ញុំអស់សំណើច សម្តែងបានល្អណាស់,Positive,1.0,ភាពយន្ត នេះ ធ្វើឱ្យ ខ្ញុំ អស់ សំណើច សម្តែង បាន ល្អ ណាស់,ភាពយន្ត នេះ ធ្វើឱ្យ ខ្ញុំ អស់ សំណើច សម្តែង បាន ល្អ ណាស់
294,ទូរទស្សន៍ថ្មីនេះមានបញ្ហាច្រើន ត្រូវជួសជុលច្រើនដង,Negative,0.0,ទូរទស្សន៍ ថ្មី នេះ មាន បញ្ហា ច្រើន ត្រូវ ជួសជុល ច្រើន ដង,ទូរទស្សន៍ ថ្មី នេះ មាន បញ្ហា ច្រើន ត្រូវ ជួសជុល ច្រើន ដង
295,សេវាកម្មស្ប៉ាល្អណាស់ បុគ្គលិកមានជំនាញខ្ពស់,Positive,1.0,សេវាកម្ម ស្ប៉ា ល្អ ណាស់ បុគ្គលិក មាន ជំនាញ ខ្ពស់,សេវាកម្ម ស្ប៉ា ល្អ ណាស់ បុគ្គលិក មាន ជំនាញ ខ្ពស់
297,គុណភាពសម្លៀកបំពាក់ល្អណាស់ តម្លៃសមរម្យ,Positive,1.0,គុណភាព សម្លៀកបំពាក់ ល្អ ណាស់ តម្លៃ សមរម្យ,គុណភាព សម្លៀកបំពាក់ ល្អ ណាស់ តម្លៃ សមរម្យ
298,បុគ្គលិកធនាគារមិនសូវរួសរាយ ធ្វើការយឺតយ៉ាវ,Negative,0.0,បុគ្គលិក ធនាគារ មិន សូវ រួសរាយ ធ្វើ ការយឺតយ៉ាវ,បុគ្គលិក ធនាគារ មិន សូវ រួសរាយ ធ្វើការ យឺតយ៉ាវ
299,កម្មវិធីប្រគំតន្ត្រីមិនសូវល្អ អ្នកចម្រៀងច្រៀងពាក់អត់សូវពិរោះ,Negative,0.0,កម្មវិធី ប្រគំ តន្ត្រី មិន សូវ ល្អ អ្នក ចម្រៀង ច្រៀង ពាក់ អត់ សូវ ពិរោះ,កម្មវិធី ប្រគំ តន្ត្រី មិន សូវ ល្អ អ្នកចម្រៀង ច្រៀង ពាក់ អត់ សូវ ពិរោះ
300,ទូរស័ព្ទនេះមានមុខងារច្រើន ប្រើប្រាស់ងាយស្រួល,Positive,1.0,ទូរស័ព្ទ នេះ មាន មុខងារ ច្រើន ប្រើប្រាស់ ងាយស្រួល,ទូរស័ព្ទ នេះ មាន មុខងារ ច្រើន ប្រើប្រាស់ ងាយស្រួល
302,រឿងភាគថ្មីនេះគួរឱ្យចាប់អារម្មណ៍ តួឯកសម្តែងពូកែ,Positive,1.0,រឿង ភាគ ថ្មី នេះ គួរឱ្យ ចាប់អារម្មណ៍ តួ ឯក សម្តែង ពូកែ,រឿង ភាគ ថ្មី នេះ គួរឱ្យ ចាប់អារម្មណ៍ តួ ឯក សម្តែង ពូកែ
303,កាមេរ៉ាថ្មីនេះថតរូបមិនសូវច្បាស់ ប្រើការមិនបានយូរ,Negative,0.0,កាមេរ៉ា ថ្មី នេះ ថត រូប មិន សូវ ច្បាស់ ប្រើ ការ មិន បាន យូរ,កាមេរ៉ា ថ្មី នេះ ថត រូប មិន សូវ ច្បាស់ ប្រើការ មិន បាន យូរ
304,សេវាកម្មជួសជុលល្អណាស់ ជាងមានជំនាញ,Positive,1.0,សេវាកម្ម ជួសជុល ល្អ ណាស់ ជាង មាន ជំនាញ,សេវាកម្ម ជួសជុល ល្អ ណាស់ ជាង មាន ជំនាញ
305,ភាពយន្តនេះធ្វើឱ្យខ្ញុំខកចិត្តណាស់ ចំណាយពេលមើលឥតប្រយោជន៍,Negative,0.0,ភាពយន្ត នេះ ធ្វើឱ្យ ខ្ញុំ ខកចិត្ត ណាស់ ចំណាយ ពេល មើល ឥត ប្រយោជន៍,ភាពយន្ត នេះ ធ្វើឱ្យ ខ្ញុំ ខកចិត្ត ណាស់ ចំណាយ ពេល មើល ឥត ប្រយោជន៍
306,ទូរទស្សន៍នេះមានគុណភាពល្អ រូបភាពច្បាស់,Positive,1.0,ទូរទស្សន៍ នេះ មាន គុណភាព ល្អ រូបភាព ច្បាស់,ទូរទស្សន៍ នេះ មាន គុណភាព ល្អ រូបភាព ច្បាស់
307,សណ្ឋាគារនេះមានសេវាកម្មល្អណាស់ បុគ្គលិកមានវិជ្ជាជីវៈខ្ពស់,Positive,1.0,សណ្ឋាគារ នេះ មាន សេវាកម្ម ល្អ ណាស់ បុគ្គលិក មាន វិជ្ជាជីវៈ ខ្ពស់,សណ្ឋាគារ នេះ មាន សេវាកម្ម ល្អ ណាស់ បុគ្គលិក មាន វិជ្ជាជីវៈ ខ្ពស់
308,កម្មវិធីសិល្បៈនេះគួរឱ្យចាប់អារម្មណ៍ មានការច្នៃប្រឌិតថ្មី,Positive,1.0,កម្មវិធី សិល្បៈ នេះ គួរឱ្យ ចាប់អារម្មណ៍ មាន ការច្នៃប្រឌិត ថ្មី,កម្មវិធី សិល្បៈ នេះ គួរឱ្យ ចាប់អារម្មណ៍ មាន ការច្នៃប្រឌិត ថ្មី
309,គុណភាពឈុតការងារមិនល្អ កាត់ដេរមិនស្អាត,Negative,0.0,គុណភាព ឈុត ការងារ មិន ល្អ កាត់ដេរ មិន ស្អាត,គុណភាព ឈុត ការងារ មិន ល្អ កាត់ដេរ មិន ស្អាត
311,ការសម្តែងរបស់តារាចម្រៀងនេះអស្ចារ្យណាស់ សំឡេងពីរោះ,Positive,1.0,ការសម្តែង របស់ តារាចម្រៀង នេះ អស្ចារ្យ ណាស់ សំឡេង ពីរោះ,ការសម្តែង របស់ តារាចម្រៀង នេះ អស្ចារ្យ ណាស់ សំឡេង ពីរោះ
312,ទូរស័ព្ទនេះលេងហ្គេមរអិល ប្រព័ន្ធដំណើរការយឺត,Negative,0.0,ទូរស័ព្ទ នេះ លេង ហ្គេម រអិល ប្រព័ន្ធ ដំណើរការ យឺត,ទូរស័ព្ទ នេះ លេង ហ្គេម រអិល ប្រព័ន្ធ ដំណើរការ យឺត
313,សេវាកម្មហាងកាត់សក់ល្អណាស់ តម្លៃសមរម្យ,Positive,1.0,សេវាកម្ម ហាង កាត់ សក់ ល្អ ណាស់ តម្លៃ សមរម្យ,សេវាកម្ម ហាង កាត់ សក់ ល្អ ណាស់ តម្លៃ សមរម្យ
315,ម៉ាស៊ីនត្រជាក់នេះត្រជាក់ល្អណាស់ សន្សំសំចៃថាមពល,Positive,1.0,ម៉ាស៊ីន ត្រជាក់ នេះ ត្រជាក់ ល្អ ណាស់ សន្សំ សំចៃ ថាមពល,ម៉ាស៊ីន ត្រជាក់ នេះ ត្រជាក់ ល្អ ណាស់ សន្សំ សំចៃ ថាមពល
316,សេវាកម្មអ៊ីនធឺណិតដំណើរការមិនល្អ ភ្ជាប់ដាច់ៗ,Negative,0.0,សេវាកម្ម អ៊ីនធឺណិត ដំណើរការ មិន ល្អ ភ្ជាប់ ដាច់ ៗ,សេវាកម្ម អ៊ីនធឺណិត ដំណើរការ មិន ល្អ ភ្ជាប់ ដាច់ ៗ
317,កម្មវិធីរាំនេះរីករាយណាស់ អ្នកចូលរួមសប្បាយ,Positive,1.0,កម្មវិធី រាំ នេះ រីករាយ ណាស់ អ្នកចូលរួម សប្បាយ,កម្មវិធី រាំ នេះ រីករាយ ណាស់ អ្នកចូលរួម សប្បាយ
318,កង់ថ្មីនេះប្រើការបានល្អណាស់ តម្លៃសមរម្យ,Positive,1.0,កង់ ថ្មី នេះ ប្រើ ការ បាន ល្អ ណាស់ តម្លៃ សមរម្យ,កង់ ថ្មី នេះ ប្រើការ បាន ល្អ ណាស់ តម្លៃ សមរម្យ
319,សេវាកម្មជួសជុលយឺតយ៉ាវ តម្លៃថ្លៃពេក,Negative,0.0,សេវាកម្ម ជួសជុល យឺតយ៉ាវ តម្លៃ ថ្លៃ ពេក,សេវាកម្ម ជួសជុល យឺតយ៉ាវ តម្លៃ ថ្លៃ ពេក
320,ការសម្តែងរបាំប្រពៃណីនេះល្អណាស់ សិល្បៈករមានទេពកោសល្យ,Positive,1.0,ការសម្តែង របាំ ប្រពៃណី នេះ ល្អ ណាស់ សិល្បៈ ករ មាន ទេពកោសល្យ,ការសម្តែង របាំ ប្រពៃណី នេះ ល្អ ណាស់ សិល្បៈ ករ មាន ទេពកោសល្យ
321,កុំព្យូទ័រនេះដំណើរការយឺត មិនស័ក្តិសមនឹងតម្លៃ,Negative,0.0,កុំព្យូទ័រ នេះ ដំណើរការ យឺត មិន ស័ក្តិសម នឹង តម្លៃ,កុំព្យូទ័រ នេះ ដំណើរការ យឺត មិន ស័ក្តិសម នឹង តម្លៃ
322,សេវាកម្មបោកគក់ល្អណាស់ ខោអាវស្អាត,Positive,1.0,សេវាកម្ម បោក គក់ ល្អ ណាស់ ខោអាវ ស្អាត,សេវាកម្ម បោកគក់ ល្អ ណាស់ ខោអាវ ស្អាត
323,តន្ត្រីនៅក្លឹបនេះឮខ្លាំងពេក មិនអាចជជែកគ្នាបាន,Negative,0.0,តន្ត្រី នៅ ក្លឹប នេះ ឮ ខ្លាំង ពេក មិន អាច ជជែកគ្នា បាន,តន្ត្រី នៅ ក្លឹប នេះ ឮ ខ្លាំង ពេក មិន អាច ជជែកគ្នា បាន
324,ទូរទឹកកកនេះត្រជាក់ល្អ ប្រើថាមពលតិច,Positive,1.0,ទូរទឹកកក នេះ ត្រជាក់ ល្អ ប្រើ ថាមពល តិច,ទូរទឹកកក នេះ ត្រជាក់ ល្អ ប្រើ ថាមពល តិច
326,ព្រឹត្តិការណ៍កីឡានេះគួរឱ្យរំភើប កីឡាករលេងពូកែ,Positive,1.0,ព្រឹត្តិការណ៍ កីឡា នេះ គួរឱ្យ រំភើប កីឡាករ លេង ពូកែ,ព្រឹត្តិការណ៍ កីឡា នេះ គួរឱ្យ រំភើប កីឡាករ លេង ពូកែ
327,វិទ្យុនេះស្តាប់មិនសូវច្បាស់ មានសំឡេងរំខាន,Negative,0.0,វិទ្យុ នេះ ស្តាប់ មិន សូវ ច្បាស់ មាន សំឡេង រំខាន,វិទ្យុ នេះ ស្តាប់ មិន សូវ ច្បាស់ មាន សំឡេង រំខាន
328,សេវាកម្មធានារ៉ាប់រងល្អណាស់ មានភាពងាយស្រួល,Positive,1.0,សេវាកម្ម ធានារ៉ាប់រង ល្អ ណាស់ មាន ភាពងាយស្រួល,សេវាកម្ម ធានារ៉ាប់រង ល្អ ណាស់ មាន ភាពងាយស្រួល
329,កម្មវិធីសម្តែងសៀកនេះអស្ចារ្យណាស់ សិល្បៈករសម្តែងបានល្អ,Positive,1.0,កម្មវិធី សម្តែង សៀក នេះ អស្ចារ្យ ណាស់ សិល្បៈ ករ សម្តែង បាន ល្អ,កម្មវិធី សម្តែង សៀក នេះ អស្ចារ្យ ណាស់ សិល្បៈ ករសម្តែង បាន ល្អ
330,ម៉ូតូថ្មីនេះប្រើប្រេងច្រើន ថែទាំពិបាក,Negative,0.0,ម៉ូតូ ថ្មី នេះ ប្រើ ប្រេង ច្រើន ថែទាំ ពិបាក,ម៉ូតូ ថ្មី នេះ ប្រើ ប្រេង ច្រើន ថែទាំ ពិបាក
332,ការប្រកួតបាល់ទាត់នេះគួរឱ្យរំភើប ក្រុមទាំងពីរលេងល្អ,Positive,1.0,ការប្រកួត បាល់ទាត់ នេះ គួរឱ្យ រំភើប ក្រុម ទាំង ពីរ លេង ល្អ,ការប្រកួត បាល់ទាត់ នេះ គួរឱ្យ រំភើប ក្រុម ទាំង ពីរ លេង ល្អ
333,ម៉ាស៊ីនបោកគក់នេះសំឡេងខ្លាំង ប្រើអគ្គិសនីច្រើន,Negative,0.0,ម៉ាស៊ីន បោកគក់ នេះ សំឡេង ខ្លាំង ប្រើ អគ្គិសនី ច្រើន,ម៉ាស៊ីន បោកគក់ នេះ សំឡេង ខ្លាំង ប្រើ អគ្គិសនី ច្រើន
334,សេវាកម្មជួលរថយន្តល្អណាស់ ឡានថ្មី ស្អាត,Positive,1.0,សេវាកម្ម ជួល រថយន្ត ល្អ ណាស់ ឡាន ថ្មី ស្អាត,សេវាកម្ម ជួល រថយន្ត ល្អ ណាស់ ឡាន ថ្មី ស្អាត
335,ការសម្តែងល្ខោននេះគួរឱ្យធុញ រឿងវែងពេក,Negative,0.0,ការសម្តែង ល្ខោន នេះ គួរឱ្យ ធុញ រឿង វែង ពេក,ការសម្តែង ល្ខោន នេះ គួរឱ្យ ធុញ រឿង វែង ពេក
336,កៅអីការិយាល័យនេះផាសុខណាស់ គុណភាពល្អ,Positive,1.0,កៅអី ការិយាល័យ នេះ ផាសុខ ណាស់ គុណភាព ល្អ,កៅអី ការិយាល័យ នេះ ផា សុខ ណាស់ គុណភាព ល្អ
338,ការសម្តែងសៀកនេះល្អណាស់ មានការច្នៃប្រឌិតថ្មី,Positive,1.0,ការសម្តែង សៀក នេះ ល្អ ណាស់ មាន ការច្នៃប្រឌិត ថ្មី,ការសម្តែង សៀក នេះ ល្អ ណាស់ មាន ការច្នៃប្រឌិត ថ្មី
339,ទូរស័ព្ទនេះថតរូបស្អាត ប្រើប្រាស់ងាយស្រួល,Positive,1.0,ទូរស័ព្ទ នេះ ថត រូប ស្អាត ប្រើប្រាស់ ងាយស្រួល,ទូរស័ព្ទ នេះ ថត រូប ស្អាត ប្រើប្រាស់ ងាយស្រួល
340,សេវាកម្មដឹកជញ្ជូនយឺតយ៉ាវ ទំនិញខូចខាត,Negative,0.0,សេវាកម្ម ដឹកជញ្ជូន យឺតយ៉ាវ ទំនិញ ខូចខាត,សេវាកម្ម ដឹក ជញ្ជូន យឺតយ៉ាវ ទំនិញ ខូចខាត
341,ភាពយន្តឯកសារនេះផ្តល់ចំណេះដឹងល្អ,Positive,1.0,ភាពយន្ត ឯកសារ នេះ ផ្តល់ ចំណេះដឹង ល្អ,ភាពយន្ត ឯកសារ នេះ ផ្តល់ ចំណេះដឹង ល្អ
342,កាបូបស្បែកនេះដេរមិនស្អាត ប្រេះបែកលឿន,Negative,0.0,កាបូប ស្បែក នេះ ដេរ មិន ស្អាត ប្រេះ បែក លឿន,កាបូប ស្បែក នេះ ដេរ មិន ស្អាត ប្រេះ បែក លឿន
343,សេវាកម្មសម្អាតផ្ទះល្អណាស់ បុគ្គលិកខិតខំធ្វើការ,Positive,1.0,សេវាកម្ម សម្អាត ផ្ទះ ល្អ ណាស់ បុគ្គលិក ខិតខំ ធ្វើការ,សេវាកម្ម សម្អាត ផ្ទះ ល្អ ណាស់ បុគ្គលិក ខិតខំ ធ្វើការ
344,កម្មវិធីចម្រៀងនេះមិនសូវទាក់ទាញ បទចាស់ៗច្រើន,Negative,0.0,កម្មវិធី ចម្រៀង នេះ មិន សូវ ទាក់ទាញ បទ ចាស់ ៗ ច្រើន,កម្មវិធី ចម្រៀង នេះ មិន សូវ ទាក់ទាញ បទ ចាស់ ៗ ច្រើន
345,ម៉ាស៊ីនត្រជាក់នេះមិនសូវត្រជាក់ ប្រើអគ្គិសនីច្រើន,Negative,0.0,ម៉ាស៊ីន ត្រជាក់ នេះ មិន សូវ ត្រជាក់ ប្រើ អគ្គិសនី ច្រើន,ម៉ាស៊ីន ត្រជាក់ នេះ មិន សូវ ត្រជាក់ ប្រើ អគ្គិសនី ច្រើន
346,សេវាកម្មអ៊ីនធឺណិតល្បឿនលឿន តម្លៃសមរម្យ,Positive,1.0,សេវាកម្ម អ៊ីនធឺណិត ល្បឿន លឿន តម្លៃ សមរម្យ,សេវាកម្ម អ៊ីនធឺណិត ល្បឿន លឿន តម្លៃ សមរម្យ
347,ផលិតផលថ្មីនេះប្រើប្រាស់បានល្អណាស់ អស្ចារ្យមែនទែន,Positive,1.0,ផលិតផល ថ្មី នេះ ប្រើប្រាស់ បាន ល្អ ណាស់ អស្ចារ្យ មែនទែន,ផលិតផល ថ្មី នេះ ប្រើប្រាស់ បាន ល្អ ណាស់ អស្ចារ្យ មែនទែន
348,ភោជនីយដ្ឋាននេះមិនសូវស្អាត ម្ហូបក៏មិនឆ្ងាញ់ដែរ,Negative,0.0,ភោជនីយដ្ឋាន នេះ មិន សូវ ស្អាត ម្ហូប ក៏ មិន ឆ្ងាញ់ ដែរ,ភោជនីយដ្ឋាន នេះ មិន សូវ ស្អាត ម្ហូប ក៏ មិន ឆ្ងាញ់ ដែរ
349,សម្តែងបទចម្រៀងបានពីរោះណាស់ ពិតជាមានទេពកោសល្យ,Positive,1.0,សម្តែង បទចម្រៀង បាន ពីរោះ ណាស់ ពិតជា មាន ទេពកោសល្យ,សម្តែង បទចម្រៀង បាន ពីរោះ ណាស់ ពិតជា មាន ទេពកោសល្យ
350,សម្ភារៈការិយាល័យទាំងនេះគុណភាពអន់ណាស់ ខូចលឿន,Negative,0.0,សម្ភារៈ ការិយាល័យ ទាំង នេះ គុណភាព អន់ ណាស់ ខូច លឿន,សម្ភារៈ ការិយាល័យ ទាំងនេះ គុណភាព អន់ ណាស់ ខូច លឿន
352,កម្មវិធីសិល្បៈនេះមិនសូវទាក់ទាញ អ្នកសម្តែងនៅខ្វះបទពិសោធន៍,Negative,0.0,កម្មវិធី សិល្បៈ នេះ មិន សូវ ទាក់ទាញ អ្នកសម្តែង នៅ ខ្វះ បទពិសោធន៍,កម្មវិធី សិល្បៈ នេះ មិន សូវ ទាក់ទាញ អ្នកសម្តែង នៅ ខ្វះ បទពិសោធន៍
353,ម៉ូតូម៉ាកថ្មីនេះបើកស្រួល សន្សំសំចៃប្រេងសាំង,Positive,1.0,ម៉ូតូ ម៉ាក ថ្មី នេះ បើក ស្រួល សន្សំ សំចៃ ប្រេងសាំង,ម៉ូតូ ម៉ាក ថ្មី នេះ បើក ស្រួល សន្សំ សំចៃ ប្រេងសាំង
354,អ្នកបើកតាក់ស៊ីនេះមានអធ្យាស្រ័យល្អ និយាយស្តីសមរម្យ,Positive,1.0,អ្នកបើក តាក់ស៊ី នេះ មាន អធ្យាស្រ័យ ល្អ និយាយស្តី សមរម្យ,អ្នកបើក តាក់ស៊ី នេះ មាន អធ្យាស្រ័យ ល្អ និយាយ ស្តី សមរម្យ
355,រោងកុននេះកៅអីស្រួលអង្គុយ ម៉ាស៊ីនបញ្ចាំងល្អ,Positive,1.0,រោង កុន នេះ កៅអី ស្រួល អង្គុយ ម៉ាស៊ីន បញ្ចាំង ល្អ,រោងកុន នេះ កៅអី ស្រួល អង្គុយ ម៉ាស៊ីន បញ្ចាំង ល្អ
356,ទូរស័ព្ទស្មាតហ្វូននេះឆាប់ហោះថ្ម មិនសមនឹងតម្លៃ,Negative,0.0,ទូរស័ព្ទ ស្មាតហ្វូន នេះ ឆាប់ ហោះ ថ្ម មិន សម នឹង តម្លៃ,ទូរស័ព្ទ ស្មាតហ្វូន នេះ ឆាប់ ហោះ ថ្ម មិន សម នឹង តម្លៃ
357,សេវាកម្មសម្អាតការិយាល័យមិនទៀងទាត់ ធ្វើការមិនម៉ត់ចត់,Negative,0.0,សេវាកម្ម សម្អាត ការិយាល័យ មិន ទៀងទាត់ ធ្វើ ការ មិន ម៉ត់ចត់,សេវាកម្ម សម្អាត ការិយាល័យ មិន ទៀងទាត់ ធ្វើការ មិន ម៉ត់ចត់
358,កម្មវិធីប្រគំតន្ត្រីនេះរៀបចំបានល្អ អ្នកចូលរួមច្រើន,Positive,1.0,កម្មវិធី ប្រគំ តន្ត្រី នេះ រៀបចំ បាន ល្អ អ្នកចូលរួម ច្រើន,កម្មវិធី ប្រគំ តន្ត្រី នេះ រៀបចំ បាន ល្អ អ្នកចូលរួម ច្រើន
359,ទូរទស្សន៍ស្មាតធីវីនេះងាយស្រួលប្រើ រូបភាពច្បាស់ស្អាត,Positive,1.0,ទូរទស្សន៍ ស្មាត ធីវី នេះ ងាយស្រួល ប្រើ រូបភាព ច្បាស់ ស្អាត,ទូរទស្សន៍ ស្មាត ធី វី នេះ ងាយស្រួល ប្រើ រូបភាព ច្បាស់ ស្អាត
360,ហាងកាត់សក់នេះកាត់មិនស្អាត តម្លៃថ្លៃទៀត,Negative,0.0,ហាង កាត់ សក់ នេះ កាត់ មិន ស្អាត តម្លៃ ថ្លៃ ទៀត,ហាង កាត់ សក់ នេះ កាត់ មិន ស្អាត តម្លៃ ថ្លៃ ទៀត
361,ភាពយន្តរឿងនេះមានខ្លឹមសារល្អ បង្រៀនមេរៀនជីវិត,Positive,1.0,ភាពយន្ត រឿង នេះ មាន ខ្លឹមសារ ល្អ បង្រៀន មេរៀន ជីវិត,ភាពយន្ត រឿង នេះ មាន ខ្លឹមសារ ល្អ បង្រៀន មេរៀន ជីវិត
364,កម្មវិធីរាំកម្សាន្តនេះសប្បាយណាស់ តន្ត្រីពិរោះ,Positive,1.0,កម្មវិធី រាំ កម្សាន្ត នេះ សប្បាយ ណាស់ តន្ត្រី ពិរោះ,កម្មវិធី រាំ កម្សាន្ត នេះ សប្បាយ ណាស់ តន្ត្រី ពិរោះ
365,ម៉ាស៊ីនត្រជាក់នេះមិនសូវត្រជាក់ ប្រើអគ្គិសនីច្រើន,Negative,0.0,ម៉ាស៊ីន ត្រជាក់ នេះ មិន សូវ ត្រជាក់ ប្រើ អគ្គិសនី ច្រើន,ម៉ាស៊ីន ត្រជាក់ នេះ មិន សូវ ត្រជាក់ ប្រើ អគ្គិសនី ច្រើន
366,គ្លីនិកធ្មេញនេះមានពេទ្យជំនាញ តម្លៃសមរម្យ,Positive,1.0,គ្លីនិក ធ្មេញ នេះ មាន ពេទ្យ ជំនាញ តម្លៃ សមរម្យ,គ្លីនិក ធ្មេញ នេះ មាន ពេទ្យ ជំនាញ តម្លៃ សមរម្យ
367,ការប្រកួតបាល់ទាត់នេះគួរឱ្យរំភើប ក្រុមទាំងពីរលេងល្អ,Positive,1.0,ការប្រកួត បាល់ទាត់ នេះ គួរឱ្យ រំភើប ក្រុម ទាំង ពីរ លេង ល្អ,ការប្រកួត បាល់ទាត់ នេះ គួរឱ្យ រំភើប ក្រុម ទាំង ពីរ លេង ល្អ
368,កង់អគ្គិសនីនេះបើកលឿន ថ្មប្រើបានយូរ,Positive,1.0,កង់ អគ្គិសនី នេះ បើក លឿន ថ្ម ប្រើ បាន យូរ,កង់ អគ្គិសនី នេះ បើក លឿន ថ្ម ប្រើ បាន យូរ
369,សេវាកម្មជួសជុលផ្ទះមិនល្អ ជាងធ្វើការមិនស្អាត,Negative,0.0,សេវាកម្ម ជួសជុល ផ្ទះ មិន ល្អ ជាង ធ្វើការ មិន ស្អាត,សេវាកម្ម ជួសជុល ផ្ទះ មិន ល្អ ជាង ធ្វើការ មិន ស្អាត
371,ទូទឹកកកនេះត្រជាក់ល្អ សន្សំសំចៃថាមពល,Positive,1.0,ទូទឹកកក នេះ ត្រជាក់ ល្អ សន្សំ សំចៃ ថាមពល,ទូទឹកកក នេះ ត្រជាក់ ល្អ សន្សំ សំចៃ ថាមពល
372,សេវាកម្មក្រុមហ៊ុនដឹកជញ្ជូនយឺតយ៉ាវ ទំនិញខូចខាត,Negative,0.0,សេវាកម្ម ក្រុមហ៊ុន ដឹកជញ្ជូន យឺត យ៉ាវ ទំនិញ ខូចខាត,សេវាកម្ម ក្រុមហ៊ុន ដឹកជញ្ជូន យឺតយ៉ាវ ទំនិញ ខូចខាត
373,ការសម្តែងរបាំប្រពៃណីនេះស្រស់ស្អាត មានអត្ថន័យ,Positive,1.0,ការសម្តែង របាំ ប្រពៃណី នេះ ស្រស់ស្អាត មាន អត្ថន័យ,ការសម្តែង របាំ ប្រពៃណី នេះ ស្រស់ស្អាត មាន អត្ថន័យ
